CnBio_Org_Name,Number and Street,CnAdrPrf_Addrline2,CnAdrPrf_City,CnAdrPrf_State,Postcode,Block-Lot,Primary,Secondary,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Tourbillon,45 Wall Street,,New York,NY,10004,26-21,Shopping,S-Jeweler,MANHATTAN,40.706595,-74.009861,1,1,7,1000826,1000260021,Battery Park City-Lower Manhattan                                          
Cucina Bene,41 Exchange Place,,New York,NY,10004,26-21,Casual Eating & Takeout,F-Pizza,MANHATTAN,40.705988,-74.010366,1,1,7,1000826,1000260021,Battery Park City-Lower Manhattan                                          
Hermés,15 Broad Street,,New York,NY,10005,26-7501,Shopping,S-Apparel: Men's & Women's,MANHATTAN,40.706531,-74.011022,1,1,7,1078988,1000267501,Battery Park City-Lower Manhattan                                          
Cipriani Wall Street,55 Wall Street,,New York,NY,10005,27-1,Full Service Dining,F-Italian,MANHATTAN,40.706191,-74.009165,1,1,7,1000827,1000277501,Battery Park City-Lower Manhattan                                          
Minas Shoe Repair Inc.,67 Wall Street,,New York,NY,10005,27-17,Personal and Professional Services,P-Shoe Repair/Shine,MANHATTAN,40.705749,-74.008342,1,1,7,1000829,1000270017,Battery Park City-Lower Manhattan                                          
BMW,67 Wall Street,,New York,NY,10005,27-17,Shopping,S-Cars,MANHATTAN,40.705749,-74.008342,1,1,7,1000829,1000270017,Battery Park City-Lower Manhattan                                          
Tumi,67 Wall Street,,New York,NY,10005,27-17,Shopping,S-Leather & Luggage,MANHATTAN,40.705749,-74.008342,1,1,7,1000829,1000270017,Battery Park City-Lower Manhattan                                          
Crumbs Bakeshop,87 Beaver Street,,New York,NY,,27-17,Casual Eating & Takeout,F-Bakery,,,,,,,,,
US Post Office-Hanover Finance Station,1 Hanover Street,,New York,NY,10005,27-9,Community Resources,C-Post Office,MANHATTAN,40.705939,-74.00884,1,1,7,1000828,1000270009,Battery Park City-Lower Manhattan                                          
Thomas Pink,63 Wall Street,,New York,NY,,27-9,Shopping,S-Apparel: Men's,,,,,,,,,
La Maison du Chocolat,63 Wall Street,,New York,NY,10005,27-9,Shopping,S-Candy & Chocolate,MANHATTAN,40.705843,-74.008516,1,1,7,1000828,1000270009,Battery Park City-Lower Manhattan                                          
Yorganic,3 Hanover Square,,New York,NY,10004,28-1,Casual Eating & Takeout,F-Health,,,,,,,,,
Hanover Gourmet Deli,3 Hanover Square,,New York,NY,10004,28-1,Casual Eating & Takeout,F-Deli,,,,,,,,,
Ray's Jewelry,3 Hanover Square,,New York,NY,10004,28-1,Shopping,S-Jeweler,,,,,,,,,
